"","Cell.line","baseline","treatment"
"645","11237",NA,NA
"646","11237",NA,NA
"647","11237",NA,NA
"648","11237",NA,NA
"649","11237",NA,NA
"650","11237",NA,NA
"651","11237",1.686179368,NA
"652","11237",1.57207106,NA
"653","11237",NA,NA
"654","11237",NA,NA
"655","11237",NA,NA
"656","11237",NA,NA
"657","11237",NA,NA
"658","11237",NA,NA
"659","11237",1.993562102,2.125310687
"660","11237",1.98449334,2.177702346
"661","11237",1.890408312,2.188088544
"662","11237",1.920575913,2.181573133
"663","11237",1.819113585,2.375129649
"664","11237",2.026853185,2.421861203
"665","11237",2.447242898,1.577158981
"666","11237",2.042886554,1.96976751
"667","11237",2.037440525,2.340214833
"668","11237",2.140103936,2.60003541
"669","11237",1.99202318,2.363427316
"670","11237",2.144926309,2.331484697
"671","11237",2.221445863,2.383467567
"672","11237",2.0081761,2.088549125
"673","11237",2.013610263,2.491265956
"674","11237",1.866014402,2.282607536
"675","11237",2.426814988,2.91398175
"676","11237",1.895521248,2.178859056
"677","11237",NA,NA
"678","11237",NA,NA
"679","11237",NA,NA
"680","11237",NA,NA
"681","11237",NA,NA
"682","11237",NA,NA
"683","11237",NA,NA
"684","11237",NA,NA
"685","11237",NA,NA
"686","11237",NA,NA
"687","11237",NA,NA
"688","11237",NA,NA
"689","11237",NA,NA
"690","11237",NA,NA
"691","11237",NA,NA
"692","11237",NA,NA
"693","11237",NA,NA
"694","11237",NA,NA
"695","11237",NA,NA
"696","11237",NA,NA
"697","11237",NA,NA
"698","11237",NA,NA
"699","11237",NA,NA
"700","11237",NA,NA
"701","11237",NA,NA
"702","11237",NA,NA
"703","11237",NA,NA
"704","11237",NA,NA
"705","11237",NA,NA
"706","11237",NA,NA
"707","11237",NA,NA
"708","11237",NA,NA
"709","11237",NA,NA
"710","11237",NA,NA
"711","11237",NA,NA
"712","11237",NA,NA
"713","11237",NA,NA
"714","11237",NA,NA
"715","11237",NA,NA
"716","11237",NA,NA
"717","11237",NA,NA
"718","11237",NA,NA
"719","11237",NA,NA
"720","11237",NA,NA
"721","11237",NA,NA
"722","11237",NA,NA
"723","11237",NA,NA
"724","11237",NA,NA
"725","11237",NA,NA
"726","11237",NA,NA
"727","11237",NA,NA
"728","11237",NA,NA
"729","11237",NA,NA
"730","11237",NA,NA
"731","11237",NA,NA
"732","11237",NA,NA
"733","11237",NA,NA
"734","11237",NA,NA
"735","11237",NA,NA
"736","11237",NA,NA
"737","11237",NA,NA
"738","11237",NA,NA
"739","11237",NA,NA
"740","11237",NA,NA
"741","11237",NA,NA
"742","11237",NA,NA
